title,image,price,size,stock,description,item_category
Dove Shampoo Hair Fall Rescue 360ml,https://media-products.airliftexpress.com/large/b7e37466-22e1-487d-ac27-b18f9c872408_woo.jpg,530,360 ml,43,"Leaving hair stronger and smoother, Dove Shampoo gently cleanses and conditions hair 

by visibly repairing damage and adding shine for a softer and more manageable look! Add 

Dove Shampoo to your cart now and receive your delivery within 30 minutes via Airlift 

Express.",2
Dove Nourishing Oil Care Shampoo 360ml,https://media-products.airliftexpress.com/large/64c3f473-a559-4ba2-8329-a3c18aac5e36_woo.jpg,530,360 ml,34,"Leaving hair stronger and smoother, Dove Shampoo gently cleanses and conditions hair 

by visibly repairing damage and adding shine for a softer and more manageable look! Add 

Dove Shampoo to your cart now and receive your delivery within 30 minutes via Airlift 

Express.",2
Dove Intense Repair Conditioner 180ml,https://media-products.airliftexpress.com/large/ab41cbc2-ce9f-441c-9c0b-2584270b3247_woo.jpg,334,180 ml,23,"Having an irresistibly delicious scent, Dove Conditioner protects and repairs damaged 

hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and detangled with 

extra shine! Add Dove Conditioner to your cart now and receive your delivery within 30 

minutes via Airlift Express.",2
Dove Men +Care Clean Comfort Body and Face Wash 250ml,https://media-products.airliftexpress.com/large/1e8403fd-ef45-4b2e-b163-b0b614f9ae9e_Dove_Men_%2BCare_Clean_Comfort_Body_and_Face_Wash_250ml_.png,1499,250 ml,34,"Dove Men + Care Clean Comfort Body and Face Wash provide complete hydration of your facial skin & body to give you the best skincare experience. It gives you healthy-looking, refreshing and revitalized skin. Have Dove Men +Care Clean Comfort Body and Face Wash delivered to your doorsteps via AirLift Express by adding it to your cart now.",2
Dove Shampoo Dryness Care 175ml,https://media-products.airliftexpress.com/large/c6d45fff-bad3-4dc7-ae47-8ccd534fce14_woo.jpg,320,175 ml,43,"Leaving hair stronger and smoother, Dove Shampoo Dryness Care gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Dove Shampoo Dryness Care to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",2
Dove Hair Fall Rescue Conditioner 180ml,https://media-products.airliftexpress.com/large/9cafb8d9-d6d6-4387-bb07-6b5a71e9cf83_8961014236514.jpg,315,180 ml,23,"Having an irresistibly delicious scent, Dove Conditioner protects and repairs damaged 

hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and detangled with 

extra shine! Add Dove Conditioner to your cart now and receive your delivery within 30 

minutes via Airlift Express.",2
Dove Shampoo Hair Fall Rescue 360ml,https://media-products.airliftexpress.com/large/b7e37466-22e1-487d-ac27-b18f9c872408_woo.jpg,530,680 ml,35,"Leaving hair stronger and smoother, Dove Shampoo gently cleanses and conditions hair 

by visibly repairing damage and adding shine for a softer and more manageable look! Add 

Dove Shampoo to your cart now and receive your delivery within 30 minutes via Airlift 

Express.",2
Dove Nourishing Oil Care Shampoo 360ml,https://media-products.airliftexpress.com/large/64c3f473-a559-4ba2-8329-a3c18aac5e36_woo.jpg,530,175 ml,65,"Leaving hair stronger and smoother, Dove Shampoo gently cleanses and conditions hair 

by visibly repairing damage and adding shine for a softer and more manageable look! Add 

Dove Shampoo to your cart now and receive your delivery within 30 minutes via Airlift 

Express.",2
Dove Shampoo Hair Fall Rescue 360ml,https://media-products.airliftexpress.com/large/b7e37466-22e1-487d-ac27-b18f9c872408_woo.jpg,530,175 ml,34,"Leaving hair stronger and smoother, Dove Shampoo gently cleanses and conditions hair 

by visibly repairing damage and adding shine for a softer and more manageable look! Add 

Dove Shampoo to your cart now and receive your delivery within 30 minutes via Airlift 

Express.",2
Dove Shampoo Intense Repair 175ml,https://media-products.airliftexpress.com/large/d5722f49-f5f6-455f-b403-2edd9430095c_woo.jpg,295,175 ml,23,"Leaving hair stronger and smoother, Dove Shampoo Intense Repair  gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Dove Shampoo Intense Repair  to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",2
Dove Dryness Care Shampoo 360ml,https://media-products.airliftexpress.com/large/fa7fdcfe-f9ac-4fa5-96d8-b48412d1d4b8_woo.jpg,530,360 ml,24,"Leaving hair stronger and smoother, Dove Dryness Care Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Dove Dryness Care Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",2
Dove Shampoo Intense Repair 175ml,https://media-products.airliftexpress.com/large/d5722f49-f5f6-455f-b403-2edd9430095c_woo.jpg,295,700 ml,56,"Leaving hair stronger and smoother, Dove Shampoo Intense Repair  gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Dove Shampoo Intense Repair  to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",2
