title,image,price,size,stock,description,item_category
Sunsilk Thick & Long Shampoo 700ml,https://media-products.airliftexpress.com/large/47847d6a-e1cf-4e54-9a75-10657933c06c_woo.jpg,840,700 ml,43,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Hairfall Solution Shampoo 360ml,https://media-products.airliftexpress.com/large/6c527917-d906-4859-91f9-43663088b656_woo.jpg,520,360 ml,12,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Thick & Long Shampoo 700ml,https://media-products.airliftexpress.com/large/47847d6a-e1cf-4e54-9a75-10657933c06c_woo.jpg,840,400 ml,54,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
SunSilk Anti-Dandruff Shampoo 380ml,https://media-products.airliftexpress.com/large/4910f5e1-5cf9-466f-b105-afeb0e2e1fa5_SunSilk_Anti-Dandruff_Shampoo_380ml.jpeg,479,380 ml,23,,7
Sunsilk Long & Healthy Growth Conditioner 180ml,https://media-products.airliftexpress.com/large/982e96d3-eb37-462e-8266-55c7048d7406_Sunsilk%20Long%20%26%20Healthy%20Growth%20Conditioner%20180ml%20.jpeg,285,180ml,87,,7
Sunsilk Black Shine Shampoo 80ml,https://media-products.airliftexpress.com/large/2c2d58f8-a5c4-4074-8062-218e0970e2d9_Sunsilk_Black_Shine_Shampoo_80ml.jpg,118,360 ml,34,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Hairfall Solution Shampoo 360ml,https://media-products.airliftexpress.com/large/6c527917-d906-4859-91f9-43663088b656_woo.jpg,520,700 ml,23,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Black Shine Conditioner 180ml,https://media-products.airliftexpress.com/large/33189e72-7d4c-4fee-9a60-94d472fcd4f1_woo.jpg,299,180 ml,42,"Having an irresistibly delicious scent, Sunsilk Conditioner protects and repairs 

damaged hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and 

detangled with extra shine! Add Sunsilk Conditioner to your cart now and receive 

your delivery within 30 minutes via Airlift Express.",7
Sunsilk Hairfall Solution Shampoo 185ml,https://media-products.airliftexpress.com/large/216af247-48fb-45c4-ade4-367e80f44974_Sunsilk%20Hairfall%20Solution%20Shampoo%20185ml.jpeg,270,185 ml,42,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Natural Recharge Almond & Honey Shampoo 185ml,https://media-products.airliftexpress.com/large/be7a6091-9fd9-478f-940a-98deafa52cc2_1204227-1.jpeg,260,185 ml,43,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Natural Recharge Fig & Mint Refresh Shampoo 185ml,https://media-products.airliftexpress.com/large/855269dc-b2f0-493c-a622-226a99532cd7_Sunsilk%20Natural%20Recharge%20Fig%20%26%20Mint%20Refresh%20Shampoo%20185ml.jpeg,260,185 ml,44,"Our exclusive formula with its natural ingredients, is designed for covered hair. Specially formulated to lift away grease and residue. Its breakthrough technology releases a burst of fresh fragrance at every touch. Enjoy an amazing fragrance for upto 48 hours. The heavenly fig contains powerful antioxidants. Mint is rich in aromatic oils that give it a fresh and uplifting sensation.",7
Sunsilk Black Shine Shampoo 80ml,https://media-products.airliftexpress.com/large/2c2d58f8-a5c4-4074-8062-218e0970e2d9_Sunsilk_Black_Shine_Shampoo_80ml.jpg,118,200 ml,44,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Long & Healthy Growth Shampoo 200ml,https://media-products.airliftexpress.com/large/cd7c3e67-6934-422f-85f6-fb587f9ac6ee_woo.jpg,260,360 ml,45,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Natural Recharge Fig & Mint Refresh Shampoo 185ml,https://media-products.airliftexpress.com/large/855269dc-b2f0-493c-a622-226a99532cd7_Sunsilk%20Natural%20Recharge%20Fig%20%26%20Mint%20Refresh%20Shampoo%20185ml.jpeg,260,380 ml,46,"Our exclusive formula with its natural ingredients, is designed for covered hair. Specially formulated to lift away grease and residue. Its breakthrough technology releases a burst of fresh fragrance at every touch. Enjoy an amazing fragrance for upto 48 hours. The heavenly fig contains powerful antioxidants. Mint is rich in aromatic oils that give it a fresh and uplifting sensation.",7
Sunsilk Thick & Long Shampoo 700ml,https://media-products.airliftexpress.com/large/47847d6a-e1cf-4e54-9a75-10657933c06c_woo.jpg,840,200 ml,46,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Black Shine Shampoo 80ml,https://media-products.airliftexpress.com/large/2c2d58f8-a5c4-4074-8062-218e0970e2d9_Sunsilk_Black_Shine_Shampoo_80ml.jpg,118,680 ml,47,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Long & Healthy Growth Shampoo 200ml,https://media-products.airliftexpress.com/large/cd7c3e67-6934-422f-85f6-fb587f9ac6ee_woo.jpg,260,200 ml,47,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Almond & Honey Anti-Breakage Conditioner 180ml,https://media-products.airliftexpress.com/large/6fd42f62-902c-44b5-8a8a-943c148a78e6_woo.jpg,285,180 ml,48,"Having an irresistibly delicious scent, Sunsilk Conditioner protects and repairs 

damaged hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and 

detangled with extra shine! Add Sunsilk Conditioner to your cart now and receive 

your delivery within 30 minutes via Airlift Express.",7
Sunsilk Natural Recharge Anti Hairfall Shampoo 360ml,https://media-products.airliftexpress.com/large/a95e46e6-9bbd-4c6b-83b3-4966b1fd8806_1203739-1.jpeg,499,360 ml,49,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Black Shine Shampoo 80ml,https://media-products.airliftexpress.com/large/2c2d58f8-a5c4-4074-8062-218e0970e2d9_Sunsilk_Black_Shine_Shampoo_80ml.jpg,118,80 ml,49,"Leaving hair stronger and smoother, Sunsilk Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Sunsilk Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",7
Sunsilk Thick & Long Conditioner 180ml,https://media-products.airliftexpress.com/large/8ee44172-f48e-4c9d-9e73-f3f1038a6cd0_Sunsilk%20Thick%20%26%20Long%20Conditioner%20180ml.jpeg,283,180 ml,50,"Having an irresistibly delicious scent, Sunsilk Conditioner protects and repairs 

damaged hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and 

detangled with extra shine! Add Sunsilk Conditioner to your cart now and receive 

your delivery within 30 minutes via Airlift Express.",7
