title,image,price,size,stock,description,item_category
TRESemme Color Revitalise Shampoo 370ml,https://media-products.airliftexpress.com/large/4f2172ae-ff9f-4ac8-8482-8607d4fcc445_woo.jpg,528,170 ml,54,"Leaving hair stronger and smoother, TRESemme Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add TRESemme Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",9
TRESemme Keratin Smooth Shampoo 650ml,https://media-products.airliftexpress.com/large/549441a8-8e91-475a-922d-1ad40178cc45_httpphpstack-299729-917918.cloudwaysapps.comimages8961014242362.jpg,797,650 ml,34,"Leaving hair stronger and smoother, TRESemme Keratin Smooth Shampoo gently cleanses and conditions hair by visibly repairing damage and adding shine for a softer and more manageable look! Add TRESemme Keratin Smooth Shampoo to your cart now and receive your delivery within 30 minutes via Airlift Express.",9
TRESemme Keratin Smooth Shampoo 650ml,https://media-products.airliftexpress.com/large/549441a8-8e91-475a-922d-1ad40178cc45_httpphpstack-299729-917918.cloudwaysapps.comimages8961014242362.jpg,797,370 ml,32,"Leaving hair stronger and smoother, TRESemme Keratin Smooth Shampoo gently cleanses and conditions hair by visibly repairing damage and adding shine for a softer and more manageable look! Add TRESemme Keratin Smooth Shampoo to your cart now and receive your delivery within 30 minutes via Airlift Express.",9
TRESemme Keratin Smooth Conditioner 160ml,https://media-products.airliftexpress.com/large/523ddc4b-9bb4-4704-b106-bd22df651ce7_woo.jpg,307,160 ml,12,"Having an irresistibly delicious scent, TRESemme Conditioner protects and repairs 

damaged hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and 

detangled with extra shine! Add TRESemme Conditioner to your cart now and receive 

your delivery within 30 minutes via Airlift Express.",9
TRESemme Color Revitalise Shampoo 370ml,https://media-products.airliftexpress.com/large/4f2172ae-ff9f-4ac8-8482-8607d4fcc445_woo.jpg,528,650ml,32,"Leaving hair stronger and smoother, TRESemme Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add TRESemme Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",9
TRESsemme Protein Thickness With Collagen Conditioner 160ml,https://media-products.airliftexpress.com/large/e573deeb-f59c-454a-ac80-84414b23e31c_httpphpstack-299729-917918.cloudwaysapps.comimages8961014242454.jpg,338,160 ml,43,,9
TRESemme Moisture Rich Shampoo 828ml,https://media-products.airliftexpress.com/large/d3747936-ed19-4776-bc38-7d34a346656c_TRESemme%20Moisture%20Rich%20Shampoo%20828ml.jpeg,982,828 ml,23,,9
TRESemme Color Revitalise Shampoo 370ml,https://media-products.airliftexpress.com/large/4f2172ae-ff9f-4ac8-8482-8607d4fcc445_woo.jpg,528,828 ml,54,"Leaving hair stronger and smoother, TRESemme Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add TRESemme Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",9
TRESemme Moisture Rich Shampoo 828ml,https://media-products.airliftexpress.com/large/d3747936-ed19-4776-bc38-7d34a346656c_TRESemme%20Moisture%20Rich%20Shampoo%20828ml.jpeg,982,828 ml,54,,9
TRESemme Keratin Smooth Shampoo 650ml,https://media-products.airliftexpress.com/large/549441a8-8e91-475a-922d-1ad40178cc45_httpphpstack-299729-917918.cloudwaysapps.comimages8961014242362.jpg,797,170 ml,34,"Leaving hair stronger and smoother, TRESemme Keratin Smooth Shampoo gently cleanses and conditions hair by visibly repairing damage and adding shine for a softer and more manageable look! Add TRESemme Keratin Smooth Shampoo to your cart now and receive your delivery within 30 minutes via Airlift Express.",9
TRESemme Color Revitalise Conditioner 160ml,https://media-products.airliftexpress.com/large/1ed3a116-310b-41e7-9d2a-3e3f94b6bebe_woo.jpg,323,160 ml,23,"Having an irresistibly delicious scent, TRESemme Conditioner protects and repairs 

damaged hair, split ends, and frizz by re-linking broken bonds, leaving hair soft and 

detangled with extra shine! Add TRESemme Conditioner to your cart now and receive 

your delivery within 30 minutes via Airlift Express.",9
TRESemme Color Revitalise Shampoo 370ml,https://media-products.airliftexpress.com/large/4f2172ae-ff9f-4ac8-8482-8607d4fcc445_woo.jpg,528,370 ml,23,"Leaving hair stronger and smoother, TRESemme Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add TRESemme Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",9
