title,image,price,size,stock,description,item_category
Lipton Yellow Label Tea Jar 475gm,https://media-products.airliftexpress.com/large/e70b15ea-c0fd-40cc-8a8f-d3cc727ed3ab_Lipton_Yellow_Label_Tea_Jar_475gm.jpg,599,475 gm,43,,10
Hellmann's Real Mayonnaise 100ml,https://media-products.airliftexpress.com/large/6faf2f7e-ff24-4fa1-8166-78dfab8a0bc8_Hellman%20100.png,73,100ml,23,,10
Brooke Bond Supreme Tea 95gm,https://media-products.airliftexpress.com/large/b0ff9358-4696-4fba-a533-0a2086e48646_b382d1dd-fb34-4c86-b8fb-205c060b6c30_woo.jpg,125,190 gm,43,"Brooke Bond Supreme Tea are made from the finest tea leaves and carries one of the best tea aromas.
This is perfect for you if you like your tea to be strong and delicious.


Whether you are looking to entertain guests at your desi household or are a chai lover yourself, 
Brooke Bond Supereme Tea ideal for all of your tea shenanigans. Now if you are craving that intense but 
familiar taste, add Brooke Bond Supreme Tea to your cart now and get it
delivered at your doorstep via Airlift Express.",10
Rafhan Custard Strawberry 275gm,https://media-products.airliftexpress.com/large/504467a9-754b-47cf-9875-fe2e03d235c3_Rafhan%20Custard%20Strawberry%20275gm.jpeg,111,275 gm,76,,10
Rafhan Jelly Mango 80gm,https://media-products.airliftexpress.com/large/2d12bf1c-53dc-4822-8b82-17d0cb409bac_woo.jpg,84,80 gm,45,,10
Rafhan Pudding 78gm,https://media-products.airliftexpress.com/large/fda76404-3da7-46a2-8832-e4cdcfea113e_woo.jpg,96,78 gm,23,,10
Brooke Bond Supreme Tea 95gm,https://media-products.airliftexpress.com/large/b0ff9358-4696-4fba-a533-0a2086e48646_b382d1dd-fb34-4c86-b8fb-205c060b6c30_woo.jpg,125,95 gm,54,"Brooke Bond Supreme Tea are made from the finest tea leaves and carries one of the best tea aromas.
This is perfect for you if you like your tea to be strong and delicious.


Whether you are looking to entertain guests at your desi household or are a chai lover yourself, 
Brooke Bond Supereme Tea ideal for all of your tea shenanigans. Now if you are craving that intense but 
familiar taste, add Brooke Bond Supreme Tea to your cart now and get it
delivered at your doorstep via Airlift Express.",10
Hellmann's Real Mayonnaise 200ml,https://media-products.airliftexpress.com/large/c287bcd0-6339-431a-b0e0-9cb032b3756e_mayo%20200.png,156,200ml,23,,10
Lipton Yellow Label Tea Pouch 475gm,https://media-products.airliftexpress.com/large/3904b756-de20-4f5b-924b-fd0ffff6466d_5e16f929-6f16-43eb-8553-50b6e7f33da1_woo.jpg,650,475 gm,12,,10
Lipton Yellow Label Tea Bags 100gm (50bags),https://media-products.airliftexpress.com/large/3faab297-9eab-4b23-96e4-dd17d4fd3b7d_woo.jpg,242,50 Bags,34,,10
Brooke Bond Supreme Tea Pouch 950gm,https://media-products.airliftexpress.com/large/7ce68771-2995-4b58-a5f9-8dbd9f9f435e_8961014018400.jpg,1050,950 gm,54,"Brooke Bond Supreme Tea are made from the finest tea leaves and carries one of the best tea aromas.
This is perfect for you if you like your tea to be strong and delicious.


Whether you are looking to entertain guests at your desi household or are a chai lover yourself, 
Brooke Bond Supereme Tea ideal for all of your tea shenanigans. Now if you are craving that intense but 
familiar taste, add Brooke Bond Supreme Tea Pouch to your cart now and get it
delivered at your doorstep via Airlift Express.",10
Lipton Green Tea Loose 100gm,https://media-products.airliftexpress.com/large/509fc3a0-7395-4c66-8b11-5bc444e468ac_woo.jpg,94,100 gm,43,,10
Rafhan Custard Banana 275gm,https://media-products.airliftexpress.com/large/e45bcd4c-30ac-42b6-834f-605c7b404e93_1019634-1.jpeg,102,275 gm,23,,10
Lipton Yellow Label Tea 95gm,https://media-products.airliftexpress.com/large/6b889043-e851-4f65-9d51-3e4ee710ba89_b4ae6da2-a458-477e-ab99-128898e16203_Lipton_Yellow_Label_Tea_95g.jpeg,140,95 gm,23,,10
Rafhan Jelly Strawberry 80gm,https://media-products.airliftexpress.com/large/8ba81c24-6651-4e3c-9089-e60f65261fd3_1162316-1.jpeg,84,80 gm,54,,10
Lipton Yellow Label Tea Pouch 475gm,https://media-products.airliftexpress.com/large/3904b756-de20-4f5b-924b-fd0ffff6466d_5e16f929-6f16-43eb-8553-50b6e7f33da1_woo.jpg,650,950 gm,66,,10
Brooke Bond Supreme Tea Pouch 950gm,https://media-products.airliftexpress.com/large/7ce68771-2995-4b58-a5f9-8dbd9f9f435e_8961014018400.jpg,1050,475 gm,34,"Brooke Bond Supreme Tea are made from the finest tea leaves and carries one of the best tea aromas.
This is perfect for you if you like your tea to be strong and delicious.


Whether you are looking to entertain guests at your desi household or are a chai lover yourself, 
Brooke Bond Supereme Tea ideal for all of your tea shenanigans. Now if you are craving that intense but 
familiar taste, add Brooke Bond Supreme Tea Pouch to your cart now and get it
delivered at your doorstep via Airlift Express.",10
Rafhan Corn Flour 275gm,https://media-products.airliftexpress.com/large/a39e7d67-a8aa-44a1-9765-093c28310173_woo.jpg,99,275 gm,54,,10
Rafhan Corn Oil Tin 3L,https://media-products.airliftexpress.com/large/fb5134be-ffd6-4688-852a-8e2cc1d50567_corn%203.png,2088,3 L,34,,10
Hellmann's Real Mayonnaise 475ml,https://media-products.airliftexpress.com/large/582ec7b2-380b-49dc-ae95-06c744ec1759_mayo%20475.png,368,475ml,43,,10
Brooke Bond Supreme Tea Jar 450gm,https://media-products.airliftexpress.com/large/0602e7a2-4f56-4201-be11-da468e460e97_woo.jpg,550,450 gm,65,"Brooke Bond Supreme Tea are made from the finest tea leaves and carries one of the best tea aromas.
This is perfect for you if you like your tea to be strong and delicious.


Whether you are looking to entertain guests at your desi household or are a chai lover yourself, 
Brooke Bond Supereme Tea ideal for all of your tea shenanigans. Now if you are craving that intense but 
familiar taste, add Brooke Bond Supreme Tea Jar to your cart now and get it
delivered at your doorstep via Airlift Express.",10
Lipton Yellow Label Tea Bags 100gm (50bags),https://media-products.airliftexpress.com/large/3faab297-9eab-4b23-96e4-dd17d4fd3b7d_woo.jpg,242,100 Bags,45,,10
Lipton Yellow Label Tea 95gm,https://media-products.airliftexpress.com/large/6b889043-e851-4f65-9d51-3e4ee710ba89_b4ae6da2-a458-477e-ab99-128898e16203_Lipton_Yellow_Label_Tea_95g.jpeg,140,190 gm,65,,10
Rafhan Corn Oil Tin 3L,https://media-products.airliftexpress.com/large/fb5134be-ffd6-4688-852a-8e2cc1d50567_corn%203.png,2088,5 L,45,,10
Rafhan Corn Oil Bottle 3L,https://media-products.airliftexpress.com/large/3d0f65bf-7557-4d23-a10d-8d505a38468a_rafhan-corn-oil-bottle-3-ltr-13819423031350.png,2300,3 L,34,,10
Hellmann's Real Mayonnaise 900ml,https://media-products.airliftexpress.com/large/26be5782-a33a-422f-81bb-ad65177d76e2_mayo%20900.png,607,900ml,43,,10
